uid,bin,range_low,range_high,payment_system,country_code,country_name,country_name_rus,bank_name_rus,bank_name,bank_name_code,hash,draft_time,create_time,update_time,enity_note,prod_type,iss_cntry,payment_system_world,status
946f20bb-7a9c-4cc3-9d48-a104848f9674,479585,4795859970000000000,4795859979999999999,VC,RUS,RUSSIAN FEDERATION,Россия,,JSC CB Modulbank,jsc_cb_modulbank,139c19be6c557cd35ec96ba5a02fc9018ca325078829dbf3384a806827001a46,0,1633089315,0,,,,VC,
4116f41f-0d45-42a7-82f4-1127acae78dc,476999,4769995220000000000,4769995319999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Газпромбанк,GazpromBank (Joint-Stock Company),gazprom,51958108a660af077502e63a2fdab056f64d976412e544cf002f7ebb0c7dac10,0,1633089315,0,,,,VC,
ba6a1502-5227-48a3-84c2-e32e22200561,439057,4390576100000000000,4390576109999999999,VC,RUS,RUSSIAN FEDERATION,Россия,Промсвязьбанк,Public Joint Stock Company Promsvyazbank,promsvyazbank,75cc7dfd2035804e4d94e86a9f8fc974c6f562d8f3b241e7b354b6628bac4940,0,1633589787,0,,,,VC,
460459f2-3f9d-41f4-bacf-2b2584667e09,520633,5206338200000000000,5206338299999999999,MC,RUS,RUSSIAN FEDERATION,Россия,Росбанк,PJSC ROSBANK,rosbank,38350ffe21d3bf63c2e763f60c4d146108579a745ac477b0275762f2be416f9c,0,1633591644,0,,,,MC,
f021e8cc-f1d6-49aa-a966-ce5b3a601964,480110,4801103900000000000,4801103909999999999,VC,RUS,RUSSIAN FEDERATION,Россия,СБЕРБАНК,sber,sber,8d3dcdd7f076531beab931638faab4c47e7a03173de1546a87a478875e32e7bd,0,1633089315,0,,,,VC,
653098d5-9835-4afd-bdfb-4621360089ce,480099,4800998700000000000,4800998709999999999,VC,RUS,RUSSIAN FEDERATION,Россия,СБЕРБАНК,sber,sber,f2cb137a29d620a15c093e2f3d88b2bafb42d0ffa5165a7da6a5093043b6dc9e,0,1633089315,0,,,,VC,
c817ef86-4310-4ed7-b9db-1a06e04f6929,623382,6233821000000000000,6233821999999999999,CUPD,KAZ,Kazakhstan,Казахстан,,Sberbank KZ,sberbank_kz,ab68f26b950ad9b5dc5895d455c144cf798129233218b61808ab484052a17393,0,1634843132,0,,Gold,398,CUPD,
8dc52f1b-afae-4b7a-a629-3178030a5829,220093,2200930300000000000,2200930399999999999,RC,RUS,RUSSIAN FEDERATION,Россия,,TATSOCBANK,tatsocbank,9e0c4965214b9cdaca10822d1e932b681a3ec610617149f586c15371e06abdb7,0,1633593261,0,,,,RC,
182332c2-84e2-46da-868a-a3ee90fd591b,525854,5258540000000000000,5258549999999999999,MC,RUS,RUSSIAN FEDERATION,Россия,РНКО Платежный центр,"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,54441157de9c66d4ae9f3d9cef11e62a331f70690e479a89442935e89ad1b78e,0,1633089315,0,,,,MC,
1bed13e7-6d61-4cf5-a2e1-a2c529bbee4c,465925,4659250000000000000,4659259999999999999,VC,KAZ,KAZAKHSTAN,Казахстан,,JSC Subsidiary Bank Alfa-Bank,alfa_kz,b193fca9aed8a3388e9ab7729dce0891ff6dfa266837711277d5772987cb08b8,0,1633591644,1653897137,,,,VC,
