MC_name,Bin_code,MC_low,MC_high,Bin_low,Bin_high
Joint Stock Company Commercial Bank Citibank,citibank,5256897000000000000,5256899999999999999,5256897000000000000,5256899999999999999
VTB Bank Belarus Closed joint-stock company,vtb_belarus,5256940000000000000,5256949999999999999,5256940000000000000,5256949999999999999
Public Joint Stock Company Bank Uralsib,uralsib,5256960000000000000,5256969999999999999,5256960000000000000,5256969999999999999
Joint Stock Savings Bank Belarusbank,belarusbank,5257140000000000000,5257142499999999999,5257140000000000000,5257142499999999999
Joint Stock Savings Bank Belarusbank,belarusbank,5257142500000000000,5257142599999999999,5257142500000000000,5257142599999999999
Joint Stock Savings Bank Belarusbank,belarusbank,5257142600000000000,5257149999999999999,5257142600000000000,5257149999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,otkritie,5257190000000000000,5257199999999999999,5257190000000000000,5257199999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5257260000000000000,5257269999999999999,5257260000000000000,5257269999999999999
VTB Bank (Public Joint-Stock Company),credit_union_payment_center,5257350000000000000,5257350069999999999,5257350000000000000,5257350069999999999
VTB Bank (Public Joint-Stock Company),credit_union_payment_center,5257350070000000000,5257359999999999999,5257350070000000000,5257359999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5257360000000000000,5257369999999999999,5257360000000000000,5257369999999999999
Credit Union Payment Center (Limited Liability Company),ns_bank,5257510000000000000,5257519999999999999,5257510000000000000,5257519999999999999
JSC ForteBank,jsc_fortebank,5257520000000000000,5257529999999999999,5257520000000000000,5257529999999999999
Armenian Card CJSC,byblos_bank_armenia_cjsc,5257570000000000000,5257579999999999999,5257570000000000000,5257579999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,joint_stock_company_finam_investment_bank,5257670000000000000,5257679999999999999,5257670000000000000,5257679999999999999
VTB Bank (Public Joint-Stock Company),vtb,5257730000000000000,5257739999999999999,5257730000000000000,5257739999999999999
PJSC ROSBANK,rosbank,5257760000000000000,5257769999999999999,5257760000000000000,5257769999999999999
Gazprombank (Joint Stock Company),gazprom,5257800000000000000,5257800000999999999,5257800000000000000,5257800000199999999
Gazprombank (Joint Stock Company),gazprom,5257800000000000000,5257800000999999999,5257800000200000000,5257809999999999999
JOINT-STOCK COMPANY SEVERGAZBANK,severgazbank,5257840000000000000,5257841999999999999,5257840000000000000,5257841999999999999
JOINT-STOCK COMPANY SEVERGAZBANK,severgazbank,5257842000000000000,5257842999999999999,5257842000000000000,5257842999999999999
JOINT-STOCK COMPANY SEVERGAZBANK,severgazbank,5257843000000000000,5257843099999999999,5257843000000000000,5257843099999999999
JOINT-STOCK COMPANY SEVERGAZBANK,severgazbank,5257843100000000000,5257849999999999999,5257843100000000000,5257849999999999999
Armenian Card CJSC,inecobank_cjsc,5257900000000000000,5257909999999999999,5257900000000000000,5257909999999999999
Gazprombank (Joint Stock Company),gazprom,5258330000000000000,5258339999999999999,5258330000000000000,5258339999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5258540000000000000,5258549999999999999,5258540000000000000,5258549999999999999
Limited Liability Company Home Credit & Finance Bank,homecredit,5259330000000000000,5259339999999999999,5259330000000000000,5259339999999999999
PJSC Orient Finans,OrientFinans,5259350000000000000,5259359999999999999,5259350000000000000,5259359999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5259740000000000000,5259749999999999999,5259740000000000000,5259749999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5259940000000000000,5259949999999999999,5259940000000000000,5259949999999999999
VTB Bank (Public Joint-Stock Company),vtb,5260370000000000000,5260370029999999999,5260370000000000000,5260370029999999999
VTB Bank (Public Joint-Stock Company),vtb,5260370030000000000,5260379999999999999,5260370030000000000,5260379999999999999
CJSC Kyrgyz Investment and Credit Bank,KICB,5260520600000000000,5260520600999999999,5260520600000000000,5260520600999999999
CJSC Kyrgyz Investment and Credit Bank,KICB,5260521720000000000,5260521720999999999,5260521720000000000,5260521720999999999
CJSC Kyrgyz Investment and Credit Bank,KICB,5260810000000000000,5260819999999999999,5260810000000000000,5260819999999999999
Uzbek Industrial and Construction Bank JSCB,UZBEK INDUSTRIAL AND CONSTRUCTION BANK JSCB,5260833300000000000,5260833399999999999,5260833300000000000,5260833399999999999
JSCB KapitalBank,,5260980000000000000,5260989999999999999,5260980000000000000,5260989999999999999
Bank Hapoalim B.M.,bank_hapoalim_b_m,5261370000000000000,5261377499999999999,5261370000000000000,5261377499999999999
Bank Hapoalim B.M.,bank_hapoalim_b_m,5261377500000000000,5261379999999999999,5261377500000000000,5261379999999999999
Public Joint Stock Company Bank Uralsib,uralsib,5262040000000000000,5262049999999999999,5262040000000000000,5262049999999999999
PJSC Orient Finans,OrientFinans,5262170000000000000,5262179999999999999,5262170000000000000,5262179999999999999
SBERBANK OF RUSSIA,sber,5262203500000000000,5262203599999999999,5262203500000000000,5262203599999999999
"JOINT STOCK COMMERCIAL BANK ""MOSCOW INDUSTRIAL BANK""",moscow_industrial_bank,5262205900000000000,5262205999999999999,5262205900000000000,5262205999999999999
SBERBANK OF RUSSIA,sber,5262208100000000000,5262208199999999999,5262208100000000000,5262208199999999999
BELVNESHECONOMBANK,belvnesheconom,5262208600000000000,5262208699999999999,5262208600000000000,5262208699999999999
"PJSC ""MTS BANK""",mts_bank,5262209000000000000,5262209099999999999,5262209000000000000,5262209099999999999
AO RAIFFEISENBANK,raiffeisen,5262362400000000000,5262362499999999999,5262362400000000000,5262362499999999999
SBERBANK OF RUSSIA,sber,5262366300000000000,5262366399999999999,5262366300000000000,5262366399999999999
"PUBLIC JOINT-STOCK COMPANY ""BANK OTKRITIE FINANCIAL CORPORATION""",otkritie,5262534900000000000,5262534999999999999,5262534900000000000,5262534999999999999
"JOINT-STOCK COMPANY ""BANK SOYUZ""",soyuz,5262539300000000000,5262539399999999999,5262539300000000000,5262539399999999999
SBERBANK OF RUSSIA,sber,5262539400000000000,5262539499999999999,5262539400000000000,5262539499999999999
SBERBANK OF RUSSIA,sber,5262542700000000000,5262542799999999999,5262542700000000000,5262542799999999999
SBERBANK OF RUSSIA,sber,5262548800000000000,5262548899999999999,5262548800000000000,5262548899999999999
SBERBANK OF RUSSIA,sber,5262549000000000000,5262549099999999999,5262549000000000000,5262549099999999999
"JOINT STOCK COMPANY ""ALFA-BANK""",alfa,5262549300000000000,5262549399999999999,5262549300000000000,5262549399999999999
SMARTBANK,tinkoff,5262550000000000000,5262550099999999999,5262550000000000000,5262559999999999999
"JOINT STOCK COMPANY ""ALFA-BANK""",alfa,5262551800000000000,5262551899999999999,5262551800000000000,5262551899999999999
TINKOFF BANK,tinkoff,5262558200000000000,5262558299999999999,5262558200000000000,5262558299999999999
"JOINT STOCK COMMERCIAL BANK ""AVANGARD""",avangard,5262593900000000000,5262593999999999999,5262593900000000000,5262593999999999999
"JOINT STOCK COMPANY ""ALFA-BANK""",alfa,5262594200000000000,5262594299999999999,5262594200000000000,5262594299999999999
"JOINT STOCK COMPANY ""ALFA-BANK""",alfa,5262602200000000000,5262602299999999999,5262602200000000000,5262602299999999999
SBERBANK OF RUSSIA,sber,5262602900000000000,5262602999999999999,5262602900000000000,5262602999999999999
CREDIT EUROPE BANK LTD,credit_europe_bank_ltd,5262604700000000000,5262604799999999999,5262604700000000000,5262604799999999999
SBERBANK OF RUSSIA,sber,5262605100000000000,5262605199999999999,5262605100000000000,5262605199999999999
AO RAIFFEISENBANK,raiffeisen,5262606100000000000,5262606199999999999,5262606100000000000,5262606199999999999
Public Joint Stock Company Promsvyazbank,promsvyazbank,5262800000000000000,5262809999999999999,5262800000000000000,5262809999999999999
Armenian Card CJSC,prometey_bank_limited_liability_company,5263920000000000000,5263929999999999999,5263920000000000000,5263929999999999999
PJSC ROSBANK,rosbank,5264620000000000000,5264629999999999999,5264620000000000000,5264629999999999999
VTB Bank (Public Joint-Stock Company),vozrozhdenie,5264690000000000000,5264699999999999999,5264690000000000000,5264699999999999999
Gazprombank (Joint Stock Company),gazprom,5264830000000000000,5264839999999999999,5264830000000000000,5264839999999999999
"JOINT STOCK COMPANY ""BANK DOM.RF""",bank_dom_rf,5265071600000000000,5265071699999999999,5265071600000000000,5265071699999999999
MONEY MAIL RU,,5265071900000000000,5265071999999999999,5265071900000000000,5265071999999999999
VTB Bank (Public Joint-Stock Company),vozrozhdenie,5265090000000000000,5265099999999999999,5265090000000000000,5265099999999999999
Belgazprombank,belgazprombank,5265520000000000000,5265520002999999999,5265520000000000000,5265520009999999999
Belgazprombank,belgazprombank,5265520010000000000,5265520019999999999,5265520010000000000,5265520019999999999
Belgazprombank,belgazprombank,5265520020000000000,5265520119999999999,5265520020000000000,5265520119999999999
Public Joint-Stock Company Rosgosstrakh Bank,rgs_bank,5268180000000000000,5268189999999999999,5268180000000000000,5268189999999999999
Joint Stock Company OTP Bank,otp_bank,5268390000000000000,5268399999999999999,5268390000000000000,5268399999999999999
VTB Bank (Public Joint-Stock Company),vtb,5268570000000000000,5268579999999999999,5268570000000000000,5268579999999999999
HDFC Bank Limited,,5268730000000000000,5268739999999999999,5268730000000000000,5268739999999999999
VTB Bank (Public Joint-Stock Company),vtb,5268910000000000000,5268919999999999999,5268910000000000000,5268919999999999999
Armenian Card CJSC,armenian_card_cjsc,5268980000000000000,5268989999999999999,5268980000000000000,5268989999999999999
Public Joint Stock Company Bank Uralsib,uralsib,5269580000000000000,5269589999999999999,5269580000000000000,5269589999999999999
Bank Freedom Finance Kazakhstan Joint Stock Company,bank_kassa_nova_jsc,5269880000000000000,5269880000999999999,5269880000000000000,5269889999999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940000000000000,5269940003999999999,5269940000000000000,5269940003999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940004000000000,5269940004999999999,5269940004000000000,5269940004999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940005000000000,5269940005999999999,5269940005000000000,5269940005999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940006000000000,5269940006999999999,5269940006000000000,5269940006999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940007000000000,5269940007999999999,5269940007000000000,5269940007999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940008000000000,5269940008999999999,5269940008000000000,5269940008999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940009000000000,5269940009999999999,5269940009000000000,5269940009999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940010000000000,5269940010999999999,5269940010000000000,5269940010999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940011000000000,5269940011999999999,5269940011000000000,5269940011999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940012000000000,5269940012999999999,5269940012000000000,5269940012999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940013000000000,5269940013999999999,5269940013000000000,5269940013999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940014000000000,5269940014999999999,5269940014000000000,5269940014999999999
JSC Eurasian BANK,jsc_eurasian_bank,5269940015000000000,5269949999999999999,5269940015000000000,5269949999999999999
VTB Bank (Public Joint-Stock Company),vtb,5270150000000000000,5270159999999999999,5270150000000000000,5270159999999999999
Industrial Construction Bank Closed Joint-Stock Company (Ardshinbank,industrial_construction_bank_closed_joint_stock_compa,5270730000000000000,5270739999999999999,5270730000000000000,5270739999999999999
Joint-Stock Company Russian Regional Development Bank (RRDB),vbrr,5270930000000000000,5270939999999999999,5270930000000000000,5270939999999999999
Bank Saint Petersburg Public Joint-Stock Company,sankt_peterburg,5272690000000000000,5272699999999999999,5272690000000000000,5272699999999999999
JSC Post Bank,post_bank,5273170000000000000,5273179999999999999,5273170000000000000,5273179999999999999
JSC Post Bank,post_bank,5273490000000000000,5273499999999999999,5273490000000000000,5273499999999999999
LLC bank Round,llc_bank_round,5273790000000000000,5273799999999999999,5273790000000000000,5273799999999999999
Sberbank of Russia,sber,5274040000000000000,5274040000999999999,5274040000000000000,5274040000999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",credit_union_payment_center,5274731300000000000,5274731399999999999,5274731300000000000,5274731399999999999
CREDIT URAL BANK,credit_ural_bank,5274732700000000000,5274732799999999999,5274732700000000000,5274732799999999999
SBERBANK OF RUSSIA,sber,5274736500000000000,5274736599999999999,5274736500000000000,5274736599999999999
SBERBANK OF RUSSIA,sber,5274762100000000000,5274762199999999999,5274762100000000000,5274762199999999999
"CREDIT UNION ""PAYMENT CENTER"" (LIMITED LIABILITY COMPANY)",expobank,5274768100000000000,5274768199999999999,5274768100000000000,5274768199999999999
VTB BANK (PUBLIC JOINT-STOCK COMPANY),vtb,5274768500000000000,5274768599999999999,5274768500000000000,5274768599999999999
JOINT STOCK COMPANY SUBSIDIARY BANK ALFA-BANK,alfa_kz,5274924700000000000,5274924799999999999,5274924700000000000,5274924799999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,binbank,5275540000000000000,5275549999999999999,5275540000000000000,5275549999999999999
Joint Stock Company Commercial Bank Citibank,citibank,5275940000000000000,5275949999999999999,5275940000000000000,5275949999999999999
PJSC ROSBANK,rosbank,5276400000000000000,5276409999999999999,5276400000000000000,5276409999999999999
Public Joint Stock Company Bank Uralsib,uralsib,5276580000000000000,5276589999999999999,5276580000000000000,5276589999999999999
Public Joint-Stock Company Norvik Bank,norvik_bank,5276660000000000000,5276660259999999999,5276660000000000000,5276660259999999999
Public Joint-Stock Company Norvik Bank,norvik_bank,5276660260000000000,5276660300999999999,5276660260000000000,5276660300399999999
Public Joint-Stock Company Norvik Bank,norvik_bank,5276660300000000000,5276669999999999999,5276660300400000000,5276669999999999999
PJSC Orient Finans,OrientFinans,5276850000000000000,5276859999999999999,5276850000000000000,5276859999999999999
Bank Hapoalim B.M.,,5277270000000000000,5277270349999999999,5277270000000000000,5277270349999999999
Bank Hapoalim B.M.,,5277270350000000000,5277270389999999999,5277270350000000000,5277270389999999999
Bank Hapoalim B.M.,,5277270390000000000,5277271349999999999,5277270390000000000,5277271349999999999
Bank Hapoalim B.M.,,5277271350000000000,5277271389999999999,5277271350000000000,5277271389999999999
Bank Hapoalim B.M.,,5277271390000000000,5277279999999999999,5277271390000000000,5277279999999999999
Joint-Stock Company MTBank,minsk_transit,5277820000000000000,5277820099999999999,5277820000000000000,5277820099999999999
Joint-Stock Company MTBank,minsk_transit,5277820100000000000,5277820199999999999,5277820100000000000,5277829999999999999
VTB Bank (Public Joint-Stock Company),vtb,5277850000000000000,5277859999999999999,5277850000000000000,5277859999999999999
Joint Stock Commercial Bank Moscow Industrial Bank,moscow_industrial_bank,5277920000000000000,5277929999999999999,5277920000000000000,5277929999999999999
Belvnesheconombank,belvnesheconom,5277970000000000000,5277979999999999999,5277970000000000000,5277979999999999999
VTB Bank (Public Joint-Stock Company),vtb,5277980000000000000,5277989999999999999,5277980000000000000,5277989999999999999
SBERBANK OF RUSSIA,,5278092400000000000,5278092499999999999,5278092400000000000,5278092499999999999
Sber Bank OJSC,sberbank_by,5278410000000000000,5278410099999999999,5278410000000000000,5278410099999999999
Tinkoff Bank,tinkoff,5280410000000000000,5280410029999999999,5280410000000000000,5280419999999999999
Tinkoff Bank,tinkoff,5280410000000000000,5280410029999999999,5280410000000000000,5280410029999999999
Tinkoff Bank,tinkoff,5280410030000000000,5280413749999999999,5280410030000000000,5280413749999999999
Tinkoff Bank,tinkoff,5280413750000000000,5280413799999999999,5280413750000000000,5280413799999999999
Tinkoff Bank,tinkoff,5280413800000000000,5280417709999999999,5280413800000000000,5280417709999999999
Tinkoff Bank,tinkoff,5280417710000000000,5280417759999999999,5280417710000000000,5280417759999999999
Tinkoff Bank,tinkoff,5280417760000000000,5280419999999999999,5280417760000000000,5280419999999999999
AO Raiffeisenbank,raiffeisen,5280530000000000000,5280539999999999999,5280530000000000000,5280539999999999999
VTB Bank (Public Joint-Stock Company),vtb,5280960000000000000,5280969999999999999,5280960000000000000,5280969999999999999
PJSC ROSBANK,rosbank,5282060000000000000,5282069999999999999,5282060000000000000,5282069999999999999
Joint-Stock Company Russian Regional Development Bank (RRDB),vbrr,5282490000000000000,5282499999999999999,5282490000000000000,5282499999999999999
VTB Bank (Public Joint-Stock Company),vtb,5282850000000000000,5282859999999999999,5282850000000000000,5282859999999999999
Demir Kyrgyz International Bank CJSC,DEMIR,5284640000000000000,5284649999999999999,5284640000000000000,5284649999999999999
Demir Kyrgyz International Bank CJSC,DEMIR,5285250000000000000,5285259999999999999,5285250000000000000,5285259999999999999
Armbusinessbank Closed Joint Stock Company,armbusinessbank_cjsc,5285500000000000000,5285500099999999999,5285500000000000000,5285509999999999999
Joint Stock Commercial Bank AK Bars,ak_bars,5285880000000000000,5285889899999999999,5285880000000000000,5285889899999999999
Joint Stock Commercial Bank AK Bars,ak_bars,5285889900000000000,5285889999999999999,5285889900000000000,5285889999999999999
Armenian Card CJSC,ameriabank_cjsc,5286120000000000000,5286129999999999999,5286120000000000000,5286129999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5286870000000000000,5286879999999999999,5286870000000000000,5286879999999999999
AO Raiffeisenbank,raiffeisen,5288080000000000000,5288089999999999999,5288080000000000000,5288089999999999999
AO Raiffeisenbank,raiffeisen,5288090000000000000,5288099999999999999,5288090000000000000,5288099999999999999
PJSC ROSBANK,rosbank,5289330000000000000,5289339999999999999,5289330000000000000,5289339999999999999
Ural Bank for Reconstruction and Development,ubrir,5290080000000000000,5290089999999999999,5290080000000000000,5290089999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5290410000000000000,5290419999999999999,5290410000000000000,5290419999999999999
Belvnesheconombank,belvnesheconom,5290880000000000000,5290880009999999999,5290880000000000000,5290880009999999999
PJSC ROSBANK,rosbank,5291000000000000000,5291009999999999999,5291000000000000000,5291009999999999999
Public Joint Stock Company Promsvyazbank,promsvyazbank,5291600000000000000,5291609999999999999,5291600000000000000,5291609999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5291700000000000000,5291709999999999999,5291700000000000000,5291709999999999999
VTB Bank (Public Joint-Stock Company),vozrozhdenie,5291930000000000000,5291939999999999999,5291930000000000000,5291939999999999999
VTB Bank (Public Joint-Stock Company),vozrozhdenie,5292150000000000000,5292159999999999999,5292150000000000000,5292159999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,otkritie,5292600000000000000,5292609999999999999,5292600000000000000,5292609999999999999
Credit Union Payment Center (Limited Liability Company),otkritie,5292940000000000000,5292949999999999999,5292940000000000000,5292949999999999999
Severny Morskoy Put Open Joint Stock Company (OJSC),smp,5292950000000000000,5292959999999999999,5292950000000000000,5292959999999999999
Israel Credit Cards Ltd.,israel_credit_cards_limited,5292970000000000000,5292974999999999999,5292970000000000000,5292974999999999999
Israel Credit Cards Ltd.,israel_credit_cards_limited,5292975000000000000,5292978999999999999,5292975000000000000,5292978999999999999
Israel Credit Cards Ltd.,israel_credit_cards_limited,5292979000000000000,5292979999999999999,5292979000000000000,5292979999999999999
Belgazprombank,belgazprombank,5293440000000000000,5293449999999999999,5293440000000000000,5293449999999999999
VTB Bank (Public Joint-Stock Company),vtb,5294260000000000000,5294269999999999999,5294260000000000000,5294269999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5294760000000000000,5294769999999999999,5294760000000000000,5294769999999999999
Public Joint Stock Company Bank Uralsib,,5294910000000000000,5294919999999999999,5294910000000000000,5294919999999999999
Joint Stock Company Bank DOM.RF,bank_dom_rf,5295530000000000000,5295539999999999999,5295530000000000000,5295539999999999999
PJSC ROSBANK,rosbank,5298130000000000000,5298139999999999999,5298130000000000000,5298139999999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180000000000000,5298180003999999999,5298180000000000000,5298180003999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180004000000000,5298180004999999999,5298180004000000000,5298180004999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180005000000000,5298180005999999999,5298180005000000000,5298180005999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180006000000000,5298180006999999999,5298180006000000000,5298180006999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180007000000000,5298180007999999999,5298180007000000000,5298180007999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180008000000000,5298180008999999999,5298180008000000000,5298180008999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180009000000000,5298180009999999999,5298180009000000000,5298180009999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180010000000000,5298180010999999999,5298180010000000000,5298180010999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180011000000000,5298180011999999999,5298180011000000000,5298180011999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180012000000000,5298180012999999999,5298180012000000000,5298180012999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180013000000000,5298180013999999999,5298180013000000000,5298180013999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180014000000000,5298180014999999999,5298180014000000000,5298180014999999999
JSC Eurasian BANK,jsc_eurasian_bank,5298180015000000000,5298189999999999999,5298180015000000000,5298189999999999999
JSC Kazpost,,5298530000000000000,5298535557999999999,5298530000000000000,5298535557999999999
JSC Kazpost,,5298535558000000000,5298535559999999999,5298535558000000000,5298535559999999999
JSC Kazpost,,5298535560000000000,5298539999999999999,5298535560000000000,5298539999999999999
Public Joint Stock Company Bank Uralsib,uralsib,5298600000000000000,5298609999999999999,5298600000000000000,5298609999999999999
Public Joint-Stock Company Norvik Bank,norvik_bank,5298640000000000000,5298640259999999999,5298640000000000000,5298640259999999999
Public Joint-Stock Company Norvik Bank,norvik_bank,5298640260000000000,5298640309999999999,5298640260000000000,5298640309999999999
Public Joint-Stock Company Norvik Bank,norvik_bank,5298640310000000000,5298640319999999999,5298640310000000000,5298640319999999999
Public Joint-Stock Company Norvik Bank,norvik_bank,5298640320000000000,5298649999999999999,5298640320000000000,5298649999999999999
VTB Bank (Public Joint-Stock Company),vtb,5298840000000000000,5298849999999999999,5298840000000000000,5298849999999999999
Belgazprombank,belgazprombank,5299220000000000000,5299222999999999999,5299220000000000000,5299222999999999999
Belgazprombank,belgazprombank,5299223000000000000,5299223309999999999,5299223000000000000,5299223309999999999
Belgazprombank,belgazprombank,5299223310000000000,5299224999999999999,5299223310000000000,5299224999999999999
Belgazprombank,belgazprombank,5299225000000000000,5299225089999999999,5299225000000000000,5299225089999999999
Belgazprombank,belgazprombank,5299225090000000000,5299225999999999999,5299225090000000000,5299225999999999999
Belgazprombank,belgazprombank,5299226000000000000,5299226209999999999,5299226000000000000,5299226209999999999
Belgazprombank,belgazprombank,5299226210000000000,5299226799999999999,5299226210000000000,5299226799999999999
Belgazprombank,belgazprombank,5299226800000000000,5299227309999999999,5299226800000000000,5299227309999999999
Belgazprombank,belgazprombank,5299227310000000000,5299227999999999999,5299227310000000000,5299227999999999999
Belgazprombank,belgazprombank,5299228000000000000,5299228079999999999,5299228000000000000,5299228079999999999
Belgazprombank,belgazprombank,5299228080000000000,5299228089999999999,5299228080000000000,5299228089999999999
Belgazprombank,belgazprombank,5299228090000000000,5299228099999999999,5299228090000000000,5299228099999999999
Belgazprombank,belgazprombank,5299228100000000000,5299228509999999999,5299228100000000000,5299228509999999999
Belgazprombank,belgazprombank,5299228510000000000,5299228999999999999,5299228510000000000,5299228999999999999
Belgazprombank,belgazprombank,5299229000000000000,5299229009999999999,5299229000000000000,5299229009999999999
Belgazprombank,belgazprombank,5299229010000000000,5299229999999999999,5299229010000000000,5299229999999999999
VTB Bank (Public Joint-Stock Company),vtb,5299380000000000000,5299389999999999999,5299380000000000000,5299389999999999999
Joint Stock Company Bank DOM.RF,bank_dom_rf,5299690000000000000,5299699999999999999,5299690000000000000,5299699999999999999
Credit Ural Bank,,5300610000000000000,5300619999999999999,5300610000000000000,5300619999999999999
Gazprombank (Joint Stock Company),gazprom,5301140000000000000,5301149999999999999,5301140000000000000,5301149999999999999
Credit Union Payment Center (Limited Liability Company),transkapital,5301450000000000000,5301459999999999999,5301450000000000000,5301459999999999999
Public Joint Stock Company Promsvyazbank,int_bank_for_settlements_of_the_telecom_postal_services,5301710000000000000,5301719999999999999,5301710000000000000,5301719999999999999
Unicredit Bank,unicredit,5301720000000000000,5301729999999999999,5301720000000000000,5301729999999999999
Subsidiary Bank Sberbank of Russia Joint Stock Company,sberbank_kz,5301800000000000000,5301809999999999999,5301800000000000000,5301809999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,otkritie,5301830000000000000,5301839999999999999,5301830000000000000,5301839999999999999
VTB Bank (Public Joint-Stock Company),vtb,5301840000000000000,5301849999999999999,5301840000000000000,5301849999999999999
VTB Bank (Public Joint-Stock Company),vtb,5302290000000000000,5302299999999999999,5302290000000000000,5302299999999999999
OJSC Kyrgyzkommertsbank,kyrgyzkommerts,5302650000000000000,5302651999999999999,5302650000000000000,5302651999999999999
OJSC Kyrgyzkommertsbank,kyrgyzkommerts,5302652000000000000,5302653999999999999,5302652000000000000,5302653999999999999
OJSC Kyrgyzkommertsbank,kyrgyzkommerts,5302654000000000000,5302654999999999999,5302654000000000000,5302654999999999999
OJSC Kyrgyzkommertsbank,kyrgyzkommerts,5302655000000000000,5302656999999999999,5302655000000000000,5302656999999999999
OJSC Kyrgyzkommertsbank,kyrgyzkommerts,5302657000000000000,5302659999999999999,5302657000000000000,5302659999999999999
PJSC Orient Finans,OrientFinans,5302870000000000000,5302879999999999999,5302870000000000000,5302879999999999999
Joint Stock Company ALFA-BANK,alfa,5303310000000000000,5303319999999999999,5303310000000000000,5303319999999999999
Public Joint-Stock Company Bank Otkritie Financial Corporation,otkritie,5304030000000000000,5304039999999999999,5304030000000000000,5304039999999999999
Joint Stock Company Asian-Pacific Bank,asian_pacific_bank,5304130000000000000,5304139999999999999,5304130000000000000,5304139999999999999
Belgazprombank,belgazprombank,5304220000000000000,5304220509999999999,5304220000000000000,5304220509999999999
Belgazprombank,belgazprombank,5304220510000000000,5304229999999999999,5304220510000000000,5304229999999999999
Public Joint Stock Company Promsvyazbank,promsvyazbank,5304410000000000000,5304419999999999999,5304410000000000000,5304419999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5304450000000000000,5304459999999999999,5304450000000000000,5304459999999999999
JSC Eurasian BANK,jsc_eurasian_bank,5304960000000000000,5304969999999999999,5304960000000000000,5304969999999999999
JSC ForteBank,jsc_fortebank,5305542010000000000,5305549999999999999,5305542010000000000,5305549999999999999
MONEY MAIL RU,,5306497700000000000,5306497799999999999,5306497700000000000,5306497799999999999
MONEY MAIL RU,,5306731200000000000,5306731299999999999,5306731200000000000,5306731299999999999
MONEY MAIL RU,,5306734300000000000,5306734399999999999,5306734300000000000,5306734399999999999
GAZPROMBANK (JOINT STOCK COMPANY),gazprom,5306766400000000000,5306766499999999999,5306766400000000000,5306766499999999999
Limited liability company Bank Avers,bank_avers,5307940000000000000,5307949999999999999,5307940000000000000,5307949999999999999
Joint Stock Company ALFA-BANK,alfa,5308270000000000000,5308279999999999999,5308270000000000000,5308279999999999999
Sberbank of Russia,sber,5308299996000000000,5308299999999999999,5308299996900000000,5308299999999999999
Bank Saint Petersburg Public Joint-Stock Company,sankt_peterburg,5309000000000000000,5309009999999999999,5309000000000000000,5309009999999999999
Belgazprombank,belgazprombank,5309140000000000000,5309140099999999999,5309140000000000000,5309140099999999999
Gazprombank (Joint Stock Company),gazprom,5309930000000000000,5309939999999999999,5309930000000000000,5309939999999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5310260000000000000,5310269999999999999,5310260000000000000,5310269999999999999
Joint-Stock Company Bank SOYUZ,soyuz,5310670000000000000,5310679999999999999,5310670000000000000,5310679999999999999
