fpsMembers/bankName,fpsMembers/bankNameRu,fpsMembers/bankId,fpsMembers/bic,fpsMembers/scenarios/0/name,fpsMembers/scenarios/0/roles/0,fpsMembers/scenarios/0/roles/1,fpsMembers/scenarios/1/name,fpsMembers/scenarios/1/roles/0,fpsMembers/scenarios/1/roles/1,fpsMembers/scenarios/2/name,fpsMembers/scenarios/2/roles/0,fpsMembers/scenarios/3/name,fpsMembers/scenarios/3/roles/0,fpsMembers/scenarios/3/roles/1,fpsMembers/scenarios/4/name,fpsMembers/scenarios/4/roles/0,fpsMembers/scenarios/4/roles/1,fpsMembers/scenarios/5/name,fpsMembers/scenarios/5/roles/0,fpsMembers/scenarios/5/roles/1,fpsMembers/scenarios/6/name,fpsMembers/scenarios/6/roles/0,fpsMembers/scenarios/6/roles/1,fpsMembers/scenarios/7/name,fpsMembers/scenarios/7/roles/0,fpsMembers/scenarios/7/roles/1,fpsMembers/scenarios/8/name,fpsMembers/scenarios/8/roles/0,fpsMembers/scenarios/2/roles/1,fpsMembers/scenarios/8/roles/1,fpsMembers/scenarios/9/name,fpsMembers/scenarios/9/roles/0,fpsMembers/scenarios/9/roles/1,fpsMembers/scenarios/10/name,fpsMembers/scenarios/10/roles/0
Toyota Bank,Тойота Банк,100000000138,044525630,C2BQRD,Receiver,Sender,C2BQRS,Receiver,,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Wildberries Bank,Wildberries (Вайлдберриз Банк),100000000259,044525450,C2CPush,Sender,,B2COther,Sender,,Me2MePull,Sender,,,,,,,,,,,,,,,,,,,,,,,,
Post Bank,Почта Банк,100000000016,044525214,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
ENISEISK UNITED BANK,АИКБ Енисейский объединенный банк,100000000258,040407523,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,
First DorTransBank,Первый Дортрансбанк,100000000137,043304757,C2CPush,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFB,Банк БЖФ,100000000260,044525464,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
YooMoney,ЮМани,100000000022,044525444,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank 131,Банк 131,100000000143,049205131,C2BQRD,Receiver,,C2BRfnd,Sender,,B2COther,Sender,,,,,,,,,,,,,,,,,,,,,,,,
URALPROMBANK,УРАЛПРОМБАНК,100000000142,047501906,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Royal Credit Bank,Роял Кредит Банк,100000000263,040507750,C2CPush,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,,,,,,,,,,,,
Russian Agricultural Bank,Россельхозбанк,100000000020,044525111,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
MB Bank,МБ Банк,100000000140,044525184,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Perspektiva,НКО Перспектива,100000000261,045209885,C2BQRD,Receiver,,C2BQRS,Receiver,,C2BRfnd,Sender,,,,,,,,,,,,,,,,,,,,,,,,
BANK URALSIB,БАНК УРАЛСИБ,100000000026,044525787,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
MKB (Credit Bank of Moscow),МКБ (Московский кредитный банк),100000000025,044525659,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
KOSHELEV-BANK,КОШЕЛЕВ-БАНК,100000000146,043601742,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Home Credit Bank,Хоум Кредит Банк,100000000024,044525245,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
BANK ELITA,банк Элита,100000000266,042908762,C2CPush,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,,,,,,,,,,,,
Timer Bank,Тимер Банк,100000000144,044525567,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
FFIN Bank LLC,ФФИН Банк (Цифра банк),100000000265,044525900,C2CPush,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Saint-Petersburg,Банк Санкт-Петербург,100000000029,044030790,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Bank AVANGARD,Банк АВАНГАРД,100000000028,044525201,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
GUTA-BANK,ГУТА-БАНК,100000000149,044525911,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Credit Europe Bank (Russia),Кредит Европа Банк (Россия),100000000027,044525767,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
SINKO-BANK,СИНКО-БАНК,100000000148,044525346,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank CHBDR,Банк ЧБРР,100000000269,043510101,C2CPush,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yandex Bank,Яндекс Банк,100000000150,044525677,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Mobile card,Кошелек ЦУПИС (Мобильная карта),100000000271,044030303,C2BQRD,Receiver,,C2BQRS,Receiver,,C2BRfnd,Sender,C2CPush,Receiver,Sender,B2COther,Sender,,Me2MePush,Receiver,Sender,,,,,,,,,,,,,,,
Dolinsk,КБ Долинск,100000000270,046401727,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank Avers,Банк Аверс,100000000154,049205774,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
ELEKSIR NCO,НКО ЭЛЕКСИР,100000000275,044525054,C2BQRD,Receiver,,C2BQRS,Receiver,,C2BRfnd,Sender,,,,,,,,,,,,,,,,,,,,,,,,
Bank VENETS,Банк Венец,100000000153,047308813,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Renaissance Credit,Ренессанс Кредит,100000000032,044525135,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
UBRR,УБРиР,100000000031,046577795,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Togliattikhimbank,Тольяттихимбанк,100000000152,043678838,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Ozon Bank (Ozon),Озон Банк (Ozon),100000000273,044525068,C2CPush,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,,,,,,,,,,,,
UniCredit Bank,ЮниКредит Банк,100000000030,044525545,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
UralFD,Урал ФД,100000000151,045773790,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Hice,Хайс,100000000272,045004864,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,C2CIntPush,Receiver,Sender,,
GENBANK,ГЕНБАНК,100000000037,043510123,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
BANK ITURUP,Банк ИТУРУП,100000000158,046401772,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
SMP Bank,СМП Банк,100000000036,044525503,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank SIAB,Банк СИАБ,100000000278,044030757,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
TKB,ТРАНСКАПИТАЛБАНК,100000000034,044525388,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Altaykapitalbank,Алтайкапиталбанк,100000000276,040173771,C2BQRD,Receiver,,C2BQRS,Receiver,,C2BRfnd,Sender,B2COther,Sender,,,,,,,,,,,,,,,,,,,,,,
Energobank,Энергобанк,100000000159,049205770,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
FINAM Bank,Банк ФИНАМ,100000000040,044525604,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BRfnd,Receiver,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,Sender,,,,,,
LOCKO-Bank,КБ ЛОКО-Банк,100000000161,044525161,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Yug-Investbank,ЮГ-Инвестбанк,100000000160,040349966,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Expobank,Экспобанк,100000000044,044525460,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Russian Universal Bank,Русьуниверсалбанк,100000000165,044525674,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Gazenergobank,Газэнергобанк,100000000043,042908701,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,Sender,,,,,,,,,
KEB HNB RUS,КЭБ БАНК РУС,100000000164,044525808,C2BQRD,Receiver,,C2BRfnd,Sender,,B2COther,Sender,,,,,,,,,,,,,,,,,,,,,,,,
Bank Snezhinskiy,Банк Снежинский,100000000163,047501799,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
UNISTREAM BANK,ЮНИСТРИМ БАНК,100000000042,044525550,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Tochka Bank,Точка Банк,100000000284,044525104,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BRfnd,Receiver,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePush,Receiver,Sender,,,,,,,,,Sender,,,,,,
BCS Bank,БКС Банк,100000000041,044525099,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
World of Privilege Bank (MP Bank),Мир Привилегий (МП Банк),100000000169,044525247,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Absolut Bank,Абсолют Банк,100000000047,044525976,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Metallinvestbank,Металлинвестбанк,100000000046,044525176,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BRfnd,Receiver,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,Sender,,,,,,
Evrofinance Mosnarbank,АКБ ЕВРОФИНАНС МОСНАРБАНК,100000000167,044525204,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Bank ZENIT,Банк ЗЕНИТ,100000000045,044525272,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
SIBSOCBANK,СИБСОЦБАНК,100000000166,040173745,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank VBRR,Банк ВБРР,100000000049,044525880,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
DEVELOPMENT CAPITAL BANK,Банк Развитие-Столица,100000000172,044525984,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Kuban Credit,Кубань Кредит,100000000050,040349722,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
MARITIME BANK,МОРСКОЙ БАНК,100000000171,044525095,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Banca Intesa,Банк Интеза,100000000170,044525922,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
MOSCOMBANK,МОСКОМБАНК,100000000176,044525476,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Bank Yoshkar-Ola,Банк Йошкар-Ола,100000000055,048860889,C2CPush,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSCB TENDER BANK,АКБ Тендер Банк,100000000175,044525131,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Blanc bank,Бланк банк,100000000053,044525801,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,,,,
Finbank,Первый Инвестиционный Банк,100000000174,044525408,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank Levoberezhniy,Банк Левобережный,100000000052,045004850,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Tavrichesky Bank,Таврический Банк,100000000173,044030877,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
"J&T Bank, a.o.",Джей энд Ти Банк (АО),100000000213,044525588,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Crocus Bank,КБ Крокус Банк,100000000212,044525881,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank ALEKSANDROVSKY,Банк АЛЕКСАНДРОВСКИЙ,100000000211,044030755,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
FORA-BANK,ФОРА-БАНК,100000000217,044525341,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
Bank Finservice,Банк Финсервис,100000000216,044525079,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
VUZ-bank,ВУЗ-банк,100000000215,046577781,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,,,,
BANK SGB,БАНК СГБ,100000000219,041909786,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
CB Poidem,КБ Пойдём,100000000103,044525732,C2BQRD,Sender,,C2BQRS,Sender,,C2BMcom,Sender,C2BRfnd,Receiver,,C2CPush,Receiver,Sender,B2COther,Receiver,,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Bank Agroros,Банк Агророс,100000000102,046311772,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
SOCIUM BANK,СОЦИУМ БАНК,100000000223,044525409,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
Novobank,Новобанк,100000000222,044959746,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Receiver,Sender,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
MOSOBLBANK,МОСОБЛБАНК,100000000221,044525521,C2BQRD,Receiver,Sender,C2BQRS,Receiver,Sender,C2BMcom,Sender,C2BRfnd,Receiver,Sender,C2CPush,Receiver,Sender,B2COther,Receiver,Sender,SbscrLnk,Sender,,Me2MePull,Receiver,Sender,Me2MePush,Receiver,,,,,,,
