bank_code,type_system,bank_id,bic
surgutneftegasbank,nspk,70720580101,
ao_bank_inteza,nspk,70850720101,
atb_bank_ltd,nspk,73132029602,
uralfinance,nspk,73102032901,
chelyabinvest,nspk,70020160101,
skb,nspk,70630480101,
bank_finservis,nspk,71961720101,
altyn_bank,nspk,72402018601,
moscombank,nspk,72072021201,
kb_ural_fd,nspk,71542021401,
ao_ik_bank,nspk,72132210102,
credit_europe_bank_ltd,nspk,70390340101,
js_itb,nspk,72632300102,
bank_ptb_ooo,nspk,72852023901,
dalenabank,nspk,72682025401,
toljattihimbank,nspk,72762780102,
bank_rmp_ao,nspk,73302029501,
isbank,nspk,72051840102,
ao_pervyj_investicionnyj_bank,nspk,73052031402,
renaissance_credit,nspk,73062034101,
jsc_cb_poidem,nspk,73772035403,
dzhej_end_ti_bank_ao,nspk,73862035901,
ao_ekonombank,nspk,73932038102,
eksi_bank,nspk,70763830102,
capital_kredit,nspk,72964370101,
cibit,nspk,89002000003,
cmr_abkhazia,nspk,89002000010,
ardshinbank_cjsc,nspk,89001000004,
ameriabank_cjsc,nspk,89001000001,
evocabank_cjsc,nspk,89001000007,
converse_bank_cjsc,nspk,89001000008,
inecobank_cjsc,nspk,89001000009,
artsakhbank_cjsc,nspk,89001000012,
belarusbank,nspk,89005000011,
priorbank_jscb,nspk,89005000001,
belagroprom,nspk,89005000010,
zepterbank,nspk,89005000016,
rdb_bank,nspk,89005000007,
bta_by,nspk,89005000018,
bsb_by,nspk,89005000004,
paritet_by,nspk,89005000013,
dabrabyt,nspk,89005000006,
statusbank,nspk,89005000022,
r_bank_jsc,nspk,89005000014,
mtbank,nspk,89005000019,
kicb,nspk,89003000001,
ecobank,nspk,89003000005,
swiss_kgz,nspk,89003000014,
baitushum,nspk,89003000015,
finca,nspk,89003000020,
kompanion,nspk,89003000021,
dushanbe_city,nspk,89009000001,
xalq_uzb,nspk,89004000002,
garant,nspk,89004000011,
ziraatbank,nspk,89004000026,
tenge,nspk,89004000030,
uzum,nspk,89004000033,
apex,nspk,89004000034,
byblos_bank_armenia_cjsc,nspk,89001000010,
ao_bank_ermak,nspk,73482030501,
national_bank_of_the_republic_of_abkhazia,nspk,89002000001,
garant_abh,nspk,89002000004,
zapsibcombank,nspk,70530310103,
ooo_kb_gt_bank,nspk,73242026701,
ao_ishbank,nspk,72292028101,
investment_bank_vesta_llc,nspk,73702034201,
ao_akb_mezhdunarodnyj_finansovyj_klub,nspk,73572035601,
National_bank_Rep_South_Ossetia,nspk,50000000000,
sks_bank_llc,nspk,74694150101,
vtb_belarus,nspk,50000000001,
vtb_am,nspk,50000000033,
vtb_kz,nspk,50000000004,
Sukhum,nspk,89002000005,
Universal,nspk,89002000007,
Savings Bank of Abkhazia,nspk,89002000002,
Amra,nspk,89002000008,
id_bank_cjsc,nspk,89001000003,
araratbank_ojsc,nspk,89001000005,
armeconombank_ojsc,nspk,89001000006,
acba_credit_agricole_bank_cjsc,nspk,89001000002,
alfa_by,nspk,89005000002,
belvnesheconom,nspk,89005000005,
belgazprombank,nspk,89005000020,
sberbank_by,nspk,89005000023,
technobank,nspk,89005000008,
